	NH3		He		Ne		Ar
4.66E-4	0.191086298623538	3.66E-4	0.923842852944768	5.66E-4	0.942486878150432	7.66E-4	0.922732200160083
4.64E-4	0.196270216230649	3.64E-4	0.937662566405328	5.64E-4	0.952545420311534	7.64E-4	0.934027802431384
4.62E-4	0.195634465277678	3.62E-4	0.944074723448567	5.62E-4	0.962318850524557	7.62E-4	0.936601926636677
4.6E-4	0.197988352340123	3.6E-4	0.951639596635623	5.6E-4	0.969700880895336	7.6E-4	0.952225747460247
4.58E-4	0.200804894550537	3.58E-4	0.961289227818662	5.58E-4	0.976432061908968	7.58E-4	0.956222161765782
4.56E-4	0.204582665734647	3.56E-4	0.968382732004127	5.56E-4	0.974276877494333	7.56E-4	0.96012790294988
4.54E-4	0.205571798789431	3.54E-4	0.974127635769549	5.54E-4	0.97634450776921	7.54E-4	0.963740937459128
4.52E-4	0.206669896538454	3.52E-4	0.98042882815518	5.52E-4	0.975369214861834	7.52E-4	0.968505452615274
4.5E-4	0.210087088844077	3.5E-4	0.98146937651218	5.5E-4	0.983937528431083	7.5E-4	0.970769340376336
4.48E-4	0.21095452894803	3.48E-4	0.986525306944024	5.48E-4	0.986893543678588	7.48E-4	0.96800784852591
4.46E-4	0.212028986906969	3.46E-4	0.993888588843521	5.46E-4	0.981980161991735	7.46E-4	0.972895156707454
